end_station_name,member_casual,end_lat,end_lng,total_trips
"Avondale Ave & Addison St",casual,41.95000076293945,-87.72000122070312,1
"Avondale Ave & Irving Park Rd",casual,41.953392057149586,-87.73200224696438,673
"Avondale Ave & Irving Park Rd",member,41.95339161239873,-87.7320021912923,797
"Back of the Yards Park",casual,41.79999923706055,-87.66000366210938,2
"Baltimore Ave & 132nd St",casual,41.65999984741211,-87.55000305175781,1
"Baltimore Ave & 133rd St",casual,41.650001525878906,-87.55000305175781,1
"Baltimore Ave & 133rd St",member,41.650001525878906,-87.55000305175781,1
"Baltimore Ave & 87th St",casual,41.737335205078125,-87.54851531982422,105
"Baltimore Ave & 87th St",member,41.737335205078125,-87.54851531982422,45
"Base - 2132 W Hubbard",casual,41.88996887207031,-87.6801528930664,27
"Base - 2132 W Hubbard",member,41.88996887207031,-87.6801528930664,113
"Base - 2132 W Hubbard Warehouse",casual,41.88995361328125,-87.68064880371094,10
"Base - 2132 W Hubbard Warehouse",member,41.889951879327946,-87.6806033741344,44
"Bell Ave & 95th St",casual,41.720001220703125,-87.68000030517578,8
"Bennett Ave & 79th St",casual,41.75178527832031,-87.57849884033203,75
"Bennett Ave & 79th St",member,41.75178527832031,-87.57849884033203,30
"Bennett Ave & 96th St",casual,41.720001220703125,-87.58000183105469,1
"Bennett Ave & 96th St",member,41.720001220703125,-87.58000183105469,1
"Bensley Ave & 103rd St",member,41.709999084472656,-87.55999755859375,1
"Benson Ave & Church St",casual,42.04821378019628,-87.68348712278001,1987
"Benson Ave & Church St",member,42.04821415994898,-87.68348691642629,2768
"Bernard St & Elston Ave",casual,41.94992438175574,-87.71395098394763,481
"Bernard St & Elston Ave",member,41.94992454058363,-87.71395104265937,1119
"Big Marsh Park",casual,41.68587875366211,-87.57382202148438,178
"Big Marsh Park",member,41.68587875366211,-87.57382202148438,55
"Bishop St & 46th St",casual,41.810001373291016,-87.66000366210938,3
"Bishop St & 46th St",member,41.810001373291016,-87.66000366210938,3
"Bissell St & Armitage Ave",casual,41.918018980136296,-87.65218409133347,2513
"Bissell St & Armitage Ave",member,41.91801765656902,-87.65218258869905,4542
"Bissell St & Armitage Ave - Charging",casual,41.91801834106445,-87.65218353271484,8
"Bissell St & Armitage Ave - Charging",member,41.91801834106445,-87.65218353271484,10
"Bissell St & Armitage Ave*",casual,41.91829698562622,-87.65218357749607,4600
"Bissell St & Armitage Ave*",member,41.91829684006041,-87.65218350661928,6432
"Blackstone Ave & Hyde Park Blvd",casual,41.80256263700072,-87.5903699319366,1394
"Blackstone Ave & Hyde Park Blvd",member,41.80256246649896,-87.59037010034113,2547
"Bloomingdale Ave & Harlem Ave",casual,41.90999984741211,-87.80999755859375,28
"Bloomingdale Ave & Harlem Ave",member,41.90999984741211,-87.80999755859375,13
"Blue Island Ave & 18th St",casual,41.85755145509905,-87.66153764565254,2392
"Blue Island Ave & 18th St",member,41.857555154653696,-87.66153734979505,3445
"Bosworth Ave & Howard St",casual,42.01953887939453,-87.66956329345703,208
"Bosworth Ave & Howard St",member,42.01953895051601,-87.66956307362702,590
"Bradley Park",casual,41.71787643432617,-87.56459045410156,45
"Bradley Park",member,41.71787643432617,-87.56459045410156,7
"Brandon Ave & 91st St",casual,41.72999954223633,-87.55000305175781,1
"Brandon Ave & 91st St",member,41.72999954223633,-87.55000305175781,10
"Brighton Park Branch Chicago Library",casual,41.81999969482422,-87.69999694824219,1
"Brighton Park Branch Chicago Library",member,41.81999969482422,-87.69999694824219,2
"Broadway & Argyle St",casual,41.97381578058629,-87.65966045139552,2860
"Broadway & Argyle St",member,41.97381570328561,-87.65966076131888,5153
"Broadway & Barry Ave",casual,41.93758370362857,-87.64409664764716,10782
"Broadway & Barry Ave",member,41.937584110636685,-87.64409675975516,16477
"Broadway & Belmont Ave",casual,41.94010545508764,-87.64545446332366,6337
"Broadway & Belmont Ave",member,41.94010540229537,-87.64545430264475,9235
"Broadway & Berwyn Ave",casual,41.97834499417634,-87.65974560976497,2543
"Broadway & Berwyn Ave",member,41.97835155105738,-87.65975201428972,5182
"Broadway & Cornelia Ave",casual,41.94552988557909,-87.64643871319136,7459
"Broadway & Cornelia Ave",member,41.945529969659546,-87.64643839295573,11833
"Broadway & Granville Ave",casual,41.99478142219131,-87.6602859081978,2757
"Broadway & Granville Ave",member,41.99478146721116,-87.66028590327693,4108
"Broadway & Ridge Ave",casual,41.98404314644638,-87.66027066939641,2127
"Broadway & Ridge Ave",member,41.98404319223662,-87.66027052664043,4412
"Broadway & Sheridan Rd",casual,41.95283119694851,-87.64999381243575,4811
"Broadway & Sheridan Rd",member,41.952831061580866,-87.64999393212743,8562
"Broadway & Thorndale Ave",casual,41.98974233802119,-87.66014096593874,2717
"Broadway & Thorndale Ave",member,41.98974243428602,-87.66014078362086,4153
"Broadway & Waveland Ave",casual,41.9490738187319,-87.64863555308077,6865
"Broadway & Waveland Ave",member,41.94907382229625,-87.64863584116355,12884
"Broadway & Wilson - Truman College Vaccination Site",casual,41.965221219061334,-87.65814214634035,3241
"Broadway & Wilson - Truman College Vaccination Site",member,41.96522166359533,-87.6581432788403,5621
"Broadway & Wilson Ave",casual,41.9652214050293,-87.65814208984375,470
"Broadway & Wilson Ave",member,41.9652214050293,-87.65814208984375,1089
"Buckingham Fountain",casual,41.87649346608149,-87.62043298663737,5201
"Buckingham Fountain",member,41.87649042168442,-87.6204917674162,980
